"model","node","Parameter","Cohens_f_partial","CI","CI_low","CI_high","tract"
"53",54,"intervention",0.119458637275302,0.9,0,0.268599572531695,"Left_Arcuate"
"53",54,"mean_RMSt",0.0557016395373365,0.9,0,0.232513199271761,"Left_Arcuate"
"53",54,"timeintervention",0.0723884579299844,0.9,0,0.196032570545982,"Left_Arcuate"
"54",55,"time",0.36348480569805,0.9,0.145058249050744,0.578980583547729,"Left_Arcuate"
"54",55,"intervention",0.0876274570273232,0.9,0,0.131298979419089,"Left_Arcuate"
"54",55,"mean_RMSt",0.068626478677727,0.9,0,0.24741721811827,"Left_Arcuate"
"54",55,"timeintervention",0.0726770827039815,0.9,0,0.196962810405878,"Left_Arcuate"
"55",56,"time",0.291518552375681,0.9,0.0764029609875876,0.501670517007569,"Left_Arcuate"
"55",56,"intervention",0.1059044821019,0.9,0,0.249049274406359,"Left_Arcuate"
"55",56,"mean_RMSt",0.0630891465876748,0.9,0,0.240425745565123,"Left_Arcuate"
"55",56,"timeintervention",0.059829012977852,0.9,0,0.158971555387,"Left_Arcuate"
"56",57,"time",0.23203941639281,0.9,0,0.437834630300613,"Left_Arcuate"
"56",57,"intervention",0.147923580144788,0.9,0,0.302438116530002,"Left_Arcuate"
"56",57,"mean_RMSt",0.0427336306918767,0.9,0,0.204081115570418,"Left_Arcuate"
"56",57,"timeintervention",0.0615542025107189,0.9,0,0.1654348147803,"Left_Arcuate"
"57",58,"time",0.183985752037495,0.9,0,0.386909247607954,"Left_Arcuate"
"57",58,"intervention",0.180305979670421,0.9,0,0.339732376247623,"Left_Arcuate"
"57",58,"mean_RMSt",0.0132889542226405,0.9,0,0.12315883943767,"Left_Arcuate"
"57",58,"timeintervention",0.107312746250184,0.9,0,0.260459088870697,"Left_Arcuate"
"58",59,"time",0.141078824276104,0.9,0,0.343526141527942,"Left_Arcuate"
"58",59,"intervention",0.195378364180465,0.9,0,0.357016737134502,"Left_Arcuate"
"58",59,"mean_RMSt",0.0594705187984184,0.9,0,0.221659923074351,"Left_Arcuate"
"58",59,"timeintervention",0.168761412568668,0.9,0,0.340876250518017,"Left_Arcuate"
"59",60,"time",0.125558445255521,0.9,0,0.32827308890022,"Left_Arcuate"
"59",60,"intervention",0.195686310094537,0.9,0,0.357801221527016,"Left_Arcuate"
"59",60,"mean_RMSt",0.0971129622773616,0.9,0,0.261322060431406,"Left_Arcuate"
"59",60,"timeintervention",0.21240661507954,0.9,0,0.391704582602559,"Left_Arcuate"
"6",7,"time",0.0562825083789126,0.9,0,0.252247506872281,"Left_Arcuate"
"6",7,"intervention",0.187222362913574,0.9,0,0.350401976175766,"Left_Arcuate"
"6",7,"mean_RMSt",0.099135082283636,0.9,0,0.257616297454374,"Left_Arcuate"
"6",7,"timeintervention",0.16673093110712,0.9,0,0.339673996621311,"Left_Arcuate"
