"model","node","fstat","pval","variable","tract"
"88",89,0.582675372817228,0.447830607535792,"risk","leftAF"
"88",89,2.4757747266904,0.120121744505083,"mean_RMSt","leftAF"
"88",89,0,0,"Residuals","leftAF"
"89",90,0.126350725124706,0.723315050038942,"risk","leftAF"
"89",90,2.2836781554354,0.135242921912292,"mean_RMSt","leftAF"
"89",90,0,0,"Residuals","leftAF"
"9",10,0.859763504051938,0.356990970555748,"risk","leftAF"
"9",10,0.202862303947068,0.65381225378513,"mean_RMSt","leftAF"
"9",10,0,0,"Residuals","leftAF"
"90",91,0.0201691810095076,0.887473557147914,"risk","leftAF"
"90",91,1.99590545630291,0.162155716955293,"mean_RMSt","leftAF"
"90",91,0,0,"Residuals","leftAF"
"91",92,0.0351135661600365,0.851899979772325,"risk","leftAF"
"91",92,2.00207437514533,0.161517370600708,"mean_RMSt","leftAF"
"91",92,0,0,"Residuals","leftAF"
"92",93,0.0853158252368191,0.771082728004874,"risk","leftAF"
"92",93,1.53283760820135,0.219823405551781,"mean_RMSt","leftAF"
"92",93,0,0,"Residuals","leftAF"
"93",94,0.540554048094213,0.464659427196868,"risk","leftAF"
"93",94,1.06020467780402,0.306713213993639,"mean_RMSt","leftAF"
"93",94,0,0,"Residuals","leftAF"
"94",95,2.47612163430287,0.120096229310364,"risk","leftAF"
"94",95,0.938898047648348,0.335897524887223,"mean_RMSt","leftAF"
"94",95,0,0,"Residuals","leftAF"
"95",96,3.81265243119025,0.0548664760666963,"risk","leftAF"
"95",96,0.579535794991402,0.449051404931079,"mean_RMSt","leftAF"
"95",96,0,0,"Residuals","leftAF"
"96",97,3.50237285471502,0.0654599368705246,"risk","leftAF"
"96",97,0.303183237294759,0.583646681310264,"mean_RMSt","leftAF"
"96",97,0,0,"Residuals","leftAF"
"97",98,3.2439573172794,0.0759943578695631,"risk","leftAF"
"97",98,0.0404400173739369,0.8412058915352,"mean_RMSt","leftAF"
"97",98,0,0,"Residuals","leftAF"
"98",99,2.24672973658889,0.13839363624569,"risk","leftAF"
"98",99,0.145062341227578,0.704452801699062,"mean_RMSt","leftAF"
"98",99,0,0,"Residuals","leftAF"
"1",2,2.84366469639354,0.0972990439746582,"risk","rightAF"
"1",2,1.42206101540844,0.238093038512597,"mean_RMSt","rightAF"
"1",2,0,0,"Residuals","rightAF"
"10",11,10.6852151865321,0.00184899271824193,"risk","rightAF"
"10",11,0.0404820565092023,0.841270026697486,"mean_RMSt","rightAF"
"10",11,0,0,"Residuals","rightAF"
"11",12,13.0321801710367,0.000654549742542626,"risk","rightAF"
"11",12,0.00557298371948719,0.940757303848796,"mean_RMSt","rightAF"
"11",12,0,0,"Residuals","rightAF"
"12",13,11.6337244789706,0.00120816628934359,"risk","rightAF"
"12",13,0.156721607781086,0.693697255575732,"mean_RMSt","rightAF"
"12",13,0,0,"Residuals","rightAF"
"13",14,9.19525020581167,0.00367208999823237,"risk","rightAF"
"13",14,0.417332400786268,0.520909757565898,"mean_RMSt","rightAF"
"13",14,0,0,"Residuals","rightAF"
"14",15,6.91134130842237,0.0110352898491711,"risk","rightAF"
"14",15,0.247901947354829,0.620505956729114,"mean_RMSt","rightAF"
"14",15,0,0,"Residuals","rightAF"
"15",16,3.46010111799698,0.0681211571740186,"risk","rightAF"
"15",16,0.00911483505850234,0.92428103486309,"mean_RMSt","rightAF"
"15",16,0,0,"Residuals","rightAF"
"16",17,1.4398784280473,0.235210999586462,"risk","rightAF"
"16",17,0.976792969522227,0.327243067441229,"mean_RMSt","rightAF"
"16",17,0,0,"Residuals","rightAF"
"17",18,0.454254951556112,0.503093897160363,"risk","rightAF"
