".y.","group1","group2","effsize","node","tract","n1","n2","conf.low","conf.high","magnitude"
"pre","0","1",0.71647728080916,20,"Left_Arcuate",27,56,0.23,1.27,"moderate"
"pre","0","1",0.405150021076912,20,"Left_IFOF",27,56,-0.06,0.96,"small"
"pre","0","1",0.0297958031022617,20,"Left_ILF",27,56,-0.45,0.52,"negligible"
"pre","0","1",0.404573671348931,20,"Left_SLF",27,56,-0.06,0.88,"small"
"pre","0","1",-0.0198552342220568,20,"Right_Arcuate",27,56,-0.58,0.53,"negligible"
"pre","0","1",0.0757295123540855,20,"Right_IFOF",27,56,-0.43,0.55,"negligible"
"pre","0","1",0.15589434356181,20,"Right_ILF",27,56,-0.26,0.61,"negligible"
"pre","0","1",0.355379637630856,20,"Right_SLF",27,56,-0.1,0.89,"small"
"pre","0","1",0.680602674182368,21,"Left_Arcuate",27,56,0.22,1.21,"moderate"
"pre","0","1",0.488079441870223,21,"Left_IFOF",27,56,0.01,0.99,"small"
"pre","0","1",-0.0131369724640246,21,"Left_ILF",27,56,-0.51,0.47,"negligible"
"pre","0","1",0.372361707783796,21,"Left_SLF",27,56,-0.13,0.86,"small"
"pre","0","1",-0.0607737656216437,21,"Right_Arcuate",27,56,-0.64,0.54,"negligible"
"pre","0","1",0.0915160543429885,21,"Right_IFOF",27,56,-0.36,0.57,"negligible"
"pre","0","1",0.0949976748507983,21,"Right_ILF",27,56,-0.38,0.57,"negligible"
"pre","0","1",0.351481058556475,21,"Right_SLF",27,56,-0.1,0.83,"small"
"pre","0","1",0.545830498481959,22,"Left_Arcuate",27,56,0.07,1.14,"moderate"
"pre","0","1",0.554045339312998,22,"Left_IFOF",27,56,0.08,1.05,"moderate"
"pre","0","1",-0.0316057717095666,22,"Left_ILF",27,56,-0.51,0.47,"negligible"
"pre","0","1",0.296248292657787,22,"Left_SLF",27,56,-0.21,0.75,"small"
"pre","0","1",-0.0700443728811997,22,"Right_Arcuate",27,56,-0.64,0.48,"negligible"
"pre","0","1",0.152578523705713,22,"Right_IFOF",27,56,-0.29,0.66,"negligible"
